1	0.0	31,32,16,29,30,20,19,24,18,13,25
2	0.0	15,23,33,32,4,10,5,2,4,19,27,33,15,30
3	0.0	23,25,34,31,27,15,10,8,1,12,17,21
4	0.0	15,5,1
5	0.0	6,8,12,2,8
6	0.0	5,4,2,3,15,25
7	0.0	5,26,25,12,15,2,13,35,15,33,1,9,19
8	0.0	5,12,25,8,4,23,24,30
9	0.0	35,10,28,19,1,35,8,7,5,32,11,25,7,16,33,35,6
10	0.0	4,6,25,33,9,15,18,28,15,30,16,6,22,23,5,20,25,14,11,33
11	0.0	11,8,16,8,28,10,26,3,25,30,26
12	0.0	16,33,35,13,28,23,30,9,8,12,19,7,32,27,29,10,26
13	0.0	26,7,30,28,12,4,17,16,6,3,23,31,1,13,34,32,21,27,18,8,20,33
14	0.0	18,10,6,29,35,8,32,1,11,24,2,20
15	0.0	20,26,5,19,11,16,12,17
16	0.0	25,8,1,3,30,9,21,4,23,29,34,35,2,15,18
17	0.0	26,13,24,10,14,5,28,12,16,3,34,11,29,27
18	0.0	23,6,21,2,33,1,30,20
19	0.0	13,24,10,14,5,28,12,16,3,34,17,11,29
20	0.0	30,6,7,4,18,13,25,8,27,35,3,32,9,26,1,33
21	0.0	20,5,19,29,28
22	0.0	27,35,3,32
23	0.0	20,5,19,29,28,15,17,24,16,23,14,10,12,22,21,11,34
24	0.0	28,2,26,11
25	0.0	16,6,3,31,32,9,30,4,5
26	0.0	12,29,15,14
27	0.0	31,32,9
28	0.0	26,11,10,27,25,34,18,16
29	0.0	5,12,29,15,14
30	0.0	14,11,27,6,15,10
31	0.0	35,17,7,19,22
32	0.0	20,2,33,34,8,18,26,12,31,29,30
33	0.0	24,22,17,34,29,11
34	0.0	26,1,4,7
35	0.0	34,29
